====================================================================================================
CuteRPG_Interior_B.png Analysis
Image size: (768, 768), Grid: 16x16, Cell size: 48px
====================================================================================================

Col Row |  Transp% |        Class | Dominant Colors
 15  15 |     0.0% |     autotile |

====================================================================================================
SUMMARY
====================================================================================================
Total cells: 256
Autotile cells: 84
Standalone cells: 132
Empty cells: 40

STANDALONE SPRITES (usable furniture/objects):
------------------------------------------------------------
  col= 5, row= 0  (sx=240, sy=0)  transp=68.8%
  col= 6, row= 0  (sx=288, sy=0)  transp=71.9%
  col= 7, row= 0  (sx=336, sy=0)  transp=88.3%
  col=14, row= 0  (sx=672, sy=0)  transp=88.3%
  col=15, row= 0  (sx=720, sy=0)  transp=71.9%
  col= 6, row= 1  (sx=288, sy=48)  transp=59.4%
  col= 7, row= 1  (sx=336, sy=48)  transp=72.7%
  col= 8, row= 1  (sx=384, sy=48)  transp=67.6%
  col= 9, row= 1  (sx=432, sy=48)  transp=76.2%
  col=10, row= 1  (sx=480, sy=48)  transp=87.9%
  col=11, row= 1  (sx=528, sy=48)  transp=87.9%
  col=12, row= 1  (sx=576, sy=48)  transp=76.2%
  col=13, row= 1  (sx=624, sy=48)  transp=67.6%
  col=14, row= 1  (sx=672, sy=48)  transp=72.7%
  col=15, row= 1  (sx=720, sy=48)  transp=59.4%
  col= 5, row= 2  (sx=240, sy=96)  transp=68.8%
  col= 6, row= 2  (sx=288, sy=96)  transp=78.9%
  col= 7, row= 2  (sx=336, sy=96)  transp=88.3%
  col=14, row= 2  (sx=672, sy=96)  transp=88.3%
  col=15, row= 2  (sx=720, sy=96)  transp=78.9%
  col= 6, row= 3  (sx=288, sy=144)  transp=75.0%
  col= 7, row= 3  (sx=336, sy=144)  transp=88.3%
  col= 8, row= 3  (sx=384, sy=144)  transp=67.6%
  col= 9, row= 3  (sx=432, sy=144)  transp=76.2%
  col=10, row= 3  (sx=480, sy=144)  transp=87.9%
  col=11, row= 3  (sx=528, sy=144)  transp=87.9%
  col=12, row= 3  (sx=576, sy=144)  transp=76.2%
  col=13, row= 3  (sx=624, sy=144)  transp=67.6%
  col=14, row= 3  (sx=672, sy=144)  transp=88.3%
  col=15, row= 3  (sx=720, sy=144)  transp=75.0%
  col= 6, row= 4  (sx=288, sy=192)  transp=59.4%
  col= 7, row= 4  (sx=336, sy=192)  transp=72.7%
  col=14, row= 4  (sx=672, sy=192)  transp=72.7%
  col=15, row= 4  (sx=720, sy=192)  transp=59.4%
  col= 1, row= 5  (sx=48, sy=240)  transp=62.5%
  col= 2, row= 5  (sx=96, sy=240)  transp=62.5%
  col= 3, row= 5  (sx=144, sy=240)  transp=62.5%
  col= 4, row= 5  (sx=192, sy=240)  transp=55.5%
  col= 5, row= 5  (sx=240, sy=240)  transp=55.5%
  col= 6, row= 5  (sx=288, sy=240)  transp=82.0%
  col= 7, row= 5  (sx=336, sy=240)  transp=76.6%
  col= 8, row= 5  (sx=384, sy=240)  transp=65.2%
  col= 9, row= 5  (sx=432, sy=240)  transp=60.5%
  col=10, row= 5  (sx=480, sy=240)  transp=87.9%
  col=11, row= 5  (sx=528, sy=240)  transp=87.9%
  col=12, row= 5  (sx=576, sy=240)  transp=60.5%
  col=13, row= 5  (sx=624, sy=240)  transp=65.2%
  col=14, row= 5  (sx=672, sy=240)  transp=76.6%
  col=15, row= 5  (sx=720, sy=240)  transp=82.0%
  col= 2, row= 6  (sx=96, sy=288)  transp=62.5%
  col= 3, row= 6  (sx=144, sy=288)  transp=62.5%
  col= 4, row= 6  (sx=192, sy=288)  transp=40.6%
  col= 5, row= 6  (sx=240, sy=288)  transp=46.9%
  col= 7, row= 6  (sx=336, sy=288)  transp=71.9%
  col= 8, row= 6  (sx=384, sy=288)  transp=81.2%
  col= 9, row= 6  (sx=432, sy=288)  transp=78.9%
  col=10, row= 6  (sx=480, sy=288)  transp=78.9%
  col=11, row= 6  (sx=528, sy=288)  transp=75.4%
  col=12, row= 6  (sx=576, sy=288)  transp=66.0%
  col=13, row= 6  (sx=624, sy=288)  transp=66.0%
  col=14, row= 6  (sx=672, sy=288)  transp=63.7%
  col=15, row= 6  (sx=720, sy=288)  transp=63.7%
  col= 6, row= 7  (sx=288, sy=336)  transp=85.5%
  col= 7, row= 7  (sx=336, sy=336)  transp=85.5%
  col= 8, row= 7  (sx=384, sy=336)  transp=85.5%
  col= 9, row= 7  (sx=432, sy=336)  transp=85.5%
  col=10, row= 7  (sx=480, sy=336)  transp=85.5%
  col=11, row= 7  (sx=528, sy=336)  transp=77.7%
  col=12, row= 7  (sx=576, sy=336)  transp=76.2%
  col=13, row= 7  (sx=624, sy=336)  transp=76.2%
  col=14, row= 7  (sx=672, sy=336)  transp=76.2%
  col=15, row= 7  (sx=720, sy=336)  transp=79.7%
  col= 6, row= 8  (sx=288, sy=384)  transp=76.2%
  col= 7, row= 8  (sx=336, sy=384)  transp=76.2%
  col= 8, row= 8  (sx=384, sy=384)  transp=76.2%
  col= 9, row= 8  (sx=432, sy=384)  transp=76.2%
  col=10, row= 8  (sx=480, sy=384)  transp=68.8%
  col=11, row= 8  (sx=528, sy=384)  transp=45.7%
  col=12, row= 8  (sx=576, sy=384)  transp=45.7%
  col=13, row= 8  (sx=624, sy=384)  transp=45.7%
  col=14, row= 8  (sx=672, sy=384)  transp=45.7%
  col=15, row= 8  (sx=720, sy=384)  transp=79.7%
  col= 0, row= 9  (sx=0, sy=432)  transp=64.1%
  col= 1, row= 9  (sx=48, sy=432)  transp=64.1%
  col= 2, row= 9  (sx=96, sy=432)  transp=64.1%
  col= 3, row= 9  (sx=144, sy=432)  transp=59.4%
  col= 4, row= 9  (sx=192, sy=432)  transp=18.0%
  col= 5, row= 9  (sx=240, sy=432)  transp=59.4%
  col= 6, row= 9  (sx=288, sy=432)  transp=18.0%
  col=12, row= 9  (sx=576, sy=432)  transp=82.8%
  col=13, row= 9  (sx=624, sy=432)  transp=82.8%
  col=14, row= 9  (sx=672, sy=432)  transp=82.8%
  col=15, row= 9  (sx=720, sy=432)  transp=82.8%
  col= 0, row=10  (sx=0, sy=480)  transp=21.9%
  col= 1, row=10  (sx=48, sy=480)  transp=21.9%
  col= 2, row=10  (sx=96, sy=480)  transp=21.9%
  col= 3, row=10  (sx=144, sy=480)  transp=18.0%
  col= 4, row=10  (sx=192, sy=480)  transp=59.4%
  col= 5, row=10  (sx=240, sy=480)  transp=18.0%
  col= 6, row=10  (sx=288, sy=480)  transp=59.4%
  col=12, row=10  (sx=576, sy=480)  transp=82.8%
  col=13, row=10  (sx=624, sy=480)  transp=82.8%
  col=14, row=10  (sx=672, sy=480)  transp=82.8%
  col=15, row=10  (sx=720, sy=480)  transp=82.8%
  col= 0, row=11  (sx=0, sy=528)  transp=59.4%
  col= 1, row=11  (sx=48, sy=528)  transp=18.0%
  col= 2, row=11  (sx=96, sy=528)  transp=18.0%
  col= 3, row=11  (sx=144, sy=528)  transp=59.4%
